"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ASADUDDIN OWAISI";"AIMIM";" 3";"Graduate Professional";"37";"3902342";"0";"Yes";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"BHAGWAN DAS";"IND";"0";"Others";"45";"102000";"0";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"G.SUBASH CHANDERJI";"BJP";"0";"Others";"51";"338000";"0";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"KONDA LAKSHMA REDDY";"INC";"0";"Graduate";"56";"1025000";"0";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"MAJEEDULLAH KHAN @ FARHAT KHAN";"MBT";"0";"12th Pass";"36";"700000";"0";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"MOHSIN-BIN-HUSSAIN AL-KASARI";"IND";"0";"Others";"28";"4715000";"0";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"SALAHUDDIN AHMED S.K.";"IND";"0";"Not Given";"50";"946744";"0";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"SMT.G.SHOBHA RANI";"BSP";"0";"Others";"41";"3900";"250000";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"SMT.VARSHA DHAWAN";"PPOI";"0";"12th Pass";"48";"0";"0";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
"SYED GAFFAR";"IND";"0";"Not Given";"40";"0";"0";"No";"HYDERABAD";"ANDHRA PRADESH";"2004";"Lok Sabha";"No Comment"
