"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ANWAR HUSSAIN";"INC";"0";"Graduate Professional";"58";"558467";"225000";"Yes";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"AFZALUR RAHMAN";"AGP";"0";"Graduate";"59";"3328400";"523000";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"DR. JOYASREE GOSWAMI MAHANTA";"IND";"0";"Doctorate";"43";"15269365";"0";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"DR. MOTIUR RAHMAN MONDAL";"IND";"0";"Doctorate";"54";"1951136";"0";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"GANDHI NATH";"IND";"0";"Graduate";"32";"131000";"0";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"JABEEN BORBHUYAN";"BJP";"0";"12th Pass";"45";"1481689";"0";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"LISTI RABHA";"IND";"0";"Post Graduate";"58";"330408";"0";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"MINHAR ALI MANDAL";"IND";"0";"Post Graduate";"56";"656500";"42844";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"MOHOR UDDIN MONDAL";"Muslim League Kerala State Committee";"0";"Post Graduate";"35";"110000";"0";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"RADHABALLAV ADHIKARY";"IND";"0";"Graduate";"63";"860388";"0";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
"SHAJAHAN SHEIKH";"IND";"0";"Others";"34";"21500";"0";"No";"DHUBRI";"ASSAM";"2004";"Lok Sabha";"No Comment"
