"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"RAGHUNATH JHA";"RJD";" 2";"12th Pass";"66";"11267189";"0";"Yes";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"AKBAR HUSAIN";"IND";"0";"Graduate";"28";"68000";"0";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"DHARMESH PRASAD VERMA";"Samajwadi Janata Party (Rashtriya)";"0";"Others";"57";"6000000";"1544000";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"DIWAKAR MANI TRIPATHI";"IND";"0";"Graduate";"31";"524100";"0";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"FAIYAZUL AZAM";"BSP";"0";"Doctorate";"64";"2778941";"52921";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"KRISHN NAND PRASAD";"IND";"0";"12th Pass";"41";"261500";"0";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"MADAN PRASAD JAISWAL";"BJP";" 1";"Post Graduate";"68";"10501000";"0";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"NAFIS AHMAD";"IND";"0";"10th Pass";"35";"60000";"0";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"NASIM AHMAD";"SP";"0";"Post Graduate";"63";"6650000";"10000";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"PRAKASH JHA";"IND";"0";"12th Pass";"50";"22002194";"8669788";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAHMAT ALI";"IND";"0";"Not Given";"33";"88000";"0";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAJAN TIWARI";"IND";" 11";"8th Pass";"31";"2408760";"1703364";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAMCHANDRA SAHANI";"CPI";" 1";"Post Graduate";"60";"1145500";"231000";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
"VIRENDRA PRASAD GUPTA";"CPI(ML)(L)";" 7";"12th Pass";"39";"1327000";"0";"No";"BETTIAH";"BIHAR";"2004";"Lok Sabha";"No Comment"
