"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"GANESH PRASAD SINGH";"RJD";"0";"Post Graduate";"57";"8990298";"294350";"Yes";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"AJAY KUMAR BHADANI";"IND";"0";"Graduate";"47";"5000";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"ARUN KUMAR";"JD(U)";" 1";"Doctorate";"44";"10594721";"398145";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"ATENDRA SINGH";"IND";"0";"10th Pass";"29";"22430000";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"CHANDRASHEKHAR SINGH ALIAS CHANDRASHEKHAR PRASAD YADAV";"IND";"0";"Not Given";"41";"129000";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"JAGYA NAND SINGH";"IND";"0";"12th Pass";"30";"142000";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"MAHANAND PRASAD";"CPI(ML)(L)";" 3";"12th Pass";"38";"191600";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"NAUSHAD AHMAD";"BSP";"0";"10th Pass";"51";"856500";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAM SINGHASAN SINGH";"AD";"0";"10th Pass";"49";"450400";"4000";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAMASHRAY PRASAD SINGH";"SPVD";"0";"Not Given";"79";"2322751";"200000";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SADHU SINHA";"IND";"0";"Graduate";"59";"445766";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SATYENDRA PRASAD YADAV";"IND";" 2";"8th Pass";"43";"366000";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SHEO PUJAN SINGH";"JP";"0";"10th Pass";"65";"550000";"73000";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
"TAPSI SINGH";"IND";"0";"10th Pass";"56";"1405000";"0";"No";"JAHANABAD";"BIHAR";"2004";"Lok Sabha";"No Comment"
