"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"LALU PRASAD";"RJD";" 7";"Graduate Professional";"55";"8768340";"22041400";"Yes";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"ANANT LAL SADA";"SP";"0";"Post Graduate";"36";"125750";"2260";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"ARVIND SAH";"BSP";"0";"10th Pass";"30";"375000";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"DR. BIJENDRA KUMAR";"IND";" 1";"Doctorate";"33";"6100";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"MD. KAMALUDDIN";"JHP";"0";"Others";"62";"615000";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"N. K. SINGH";"SAP";"0";"Post Graduate";"66";"5613304";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"PRASANNA KUMAR";"IND";"0";"10th Pass";"56";"797700";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RADHESHYAM AGARWAL";"IND";"0";"10th Pass";"63";"13158067";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAM NARESH CHAUPAL";"IND";"0";"Graduate";"44";"75000";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SATTO MANDAL";"IND";"0";"5th Pass";"39";"581500";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SHARAD YADAV";"JD(U)";" 1";"Graduate Professional";"55";"7780000";"354647";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SHASHISHEKHAR PRASAD SINGH";"IND";"0";"Not Given";"54";"259000";"0";"No";"MADHEPURA";"BIHAR";"2004";"Lok Sabha";"No Comment"
