"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"AKHILES PRASAD SINGH";"RJD";"0";"Post Graduate";"41";"3669358";"0";"Yes";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"BHAGWAN LAL SAH";"IND";"0";"Literate";"48";"565000";"0";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"BHOLA SAH";"IND";"0";"10th Pass";"36";"130000";"7000";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"KAMESHWAR PRASAD";"IND";"0";"Not Given";"29";"25200";"30000";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"KHALID MUSTAFA";"IND";"0";"10th Pass";"39";"453500";"40000";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"KRISHNA MOHAN DAS";"SHS";"0";"Graduate";"57";"485400";"300";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RADHA MOHAN SINGH";"BJP";"0";"Graduate";"56";"4859026";"212064";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAJA RAM SINGH";"BSP";"0";"10th Pass";"56";"490000";"0";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAJU KUMAR GUPTA";"IND";"0";"8th Pass";"33";"120000";"0";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SHATRUGHAN TIWARI";"IND";"0";"10th Pass";"34";"1716000";"1200000";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SHEKHAR PRASAD JAISWAL";"IND";"0";"Graduate";"0";"1009000";"850000";"No";"MOTIHARI";"BIHAR";"2004";"Lok Sabha";"No Comment"
