"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"RANJEET RANJAN";"LJNSP";"0";"12th Pass";"31";"2549000";"0";"Yes";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"DEONARAYAN DAS";"SHS";"0";"10th Pass";"66";"1240000";"0";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"DEVENDRA MUKHIA";"IND";" 2";"10th Pass";"0";"15000";"0";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"DINESH CHANDRA YADAV";"JD(U)";" 1";"10th Pass";"51";"4396467";"448483";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"MOHAN KAMAT";"AD";"0";"Others";"45";"379000";"0";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"MOHD. KAMAL UDDIN";"JHP";"0";"Others";"62";"1510000";"0";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"RAMDEO SHARMA";"IND";"0";"10th Pass";"47";"33500";"0";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SHIV SHANKAR THAKUR";"SP";"0";"Post Graduate";"44";"2732736";"80000";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SURESH KUMAR AZAD";"IND";"0";"Post Graduate";"35";"156380";"15000";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
"SURESH PRASAD MEHTA";"BSP";"0";"Graduate Professional";"41";"9757200";"0";"No";"Saharsa";"BIHAR";"2004";"Lok Sabha";"No Comment"
