"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"TARACHAND SAHU";"BJP";"0";"Post Graduate";"57";"3205175";"1060847";"Yes";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"ARUN JOSHI";"IND";"0";"Graduate";"34";"0";"0";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"ASHOK KUMAR RAJPUT";"IND";"0";"Literate";"40";"333000";"0";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"BALVINDER SINGH";"IND";"0";"Not Given";"50";"0";"86714";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"BHARAT BHUSHAN PANDEY";"IND";" 6";"12th Pass";"42";"1201254";"0";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"BHUPESH BAGHEL";"INC";"0";"Post Graduate";"42";"7666901";"306050";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"KIRAN NONI URF KIRAN BETI";"IJP";"0";"Not Given";"35";"30000";"0";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"MANHARAN SINGH CHHEDAIHA";"IND";"0";"10th Pass";"34";"10000";"5000";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"R. D. JOGANSH";"IND";"0";"12th Pass";"63";"258000";"0";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"SHIEKH RASOOL ALIAS DADA BHAI";"SP";"0";"Literate";"36";"1620000";"0";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
"SHRI MATAJI";"BSP";"0";"12th Pass";"36";"425000";"0";"No";"DURG";"CHHATTISGARH";"2004";"Lok Sabha";"No Comment"
