"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KULDEEP BISHNOI";"INC";"0";"Graduate";"35";"143724090";"21865304";"Yes";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"AJAY SINGH CHAUTALA";"INLD";"0";"Post Graduate";"43";"76671616";"861800";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"BHAL SINGH";"IND";"0";"10th Pass";"48";"527000";"0";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"DEVI LAL";"IND";"0";"10th Pass";"38";"9835579";"2292500";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"KAPTAN";"LJNSP";"0";"12th Pass";"34";"818000";"0";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"KULDEEP";"IND";"0";"10th Pass";"33";"1250000";"0";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"MAHENDER SINGH";"SP";"0";"Post Graduate";"32";"925000";"90000";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"MANGAL SINGH";"IND";"0";"10th Pass";"43";"1945000";"207000";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"MANGE RAM";"IND";"0";"Doctorate";"35";"1863000";"209577";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"RAJ DEVI JANGRA";"IND";"0";"10th Pass";"39";"2553129";"400000";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"RAM BILAS";"BJP";"0";"Graduate Professional";"56";"2890201";"0";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"RAMANAND";"BSP";"0";"Literate";"60";"4646000";"250000";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"SANJEEV";"IND";"0";"Post Graduate";"26";"635000";"0";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"SURENDER";"IND";"0";"8th Pass";"34";"1263000";"60000";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"SURENDER SINGH";"HVP";"0";"Literate";"34";"1163000";"60000";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
"TAPESH BAGATI";"IND";"0";"Graduate";"31";"120431552";"0";"No";"BHIWANI";"HARYANA";"2004";"Lok Sabha";"No Comment"
