"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SUNIL KUMAR MAHATO";"JMM";" 3";"Graduate";"38";"3058500";"0";"Yes";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"ABHA MAHTO";"BJP";"0";"Graduate";"39";"6616966";"443377";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"ANANG PRADHAN";"IND";"0";"12th Pass";"52";"1735600";"1000";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"BAIJNATH SHARMA";"BSP";"0";"8th Pass";"51";"131000";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"DIL BAHADUR";"JKP";"0";"Post Graduate";"32";"30093";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"DR. BADAL CHANDRA BHAKAT";"IND";"0";"Doctorate";"52";"1918056";"82529";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"GOBARDHAN PATRO";"IND";"0";"8th Pass";"30";"11585";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"HEMANTA SINGH";"AMB";"0";"12th Pass";"32";"0";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"MANOJ BUDHIA";"IND";"0";"12th Pass";"27";"28031";"450000";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"OMKAR NATH JAISWAL";"SP";"0";"Graduate";"70";"1931500";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"SHEKH RASHID";"NLP";"0";"Literate";"36";"60000";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"SHYAMAL RANJAN SARKAR";"IND";" 2";"12th Pass";"38";"945000";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"SITARAM TUDU";"IND";"0";"12th Pass";"54";"478000";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"SUJIT SINGH";"LJNSP";"0";"Graduate";"32";"161000";"28000";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"SURYA SINGH BESRA";"NPF";"0";"Post Graduate";"42";"2653396";"499209";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
"YOGENDRA SHARMA";"SHS";" 7";"10th Pass";"34";"42000";"0";"No";"JAMSHEDPUR";"JHARKHAND";"2004";"Lok Sabha";"No Comment"
