"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"RAKESH SINGH";"BJP";"0";"Graduate";"42";"6327291";"0";"Yes";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"AD. SUNIL SHUKLA";"GGP";" 2";"Post Graduate";"43";"1468000";"5022000";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"ADVOCATE PREM PRAKASH AMBEDKAR";"IND";"0";"Post Graduate";"63";"125000";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"ARVIND  MAHOBIYA";"IND";"0";"Literate";"28";"148000";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"BHAI RAKESH ( PRAMUKH DHAI AKSHAR)  SONKAR";"IND";"0";"Graduate";"33";"0";"114493";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"BRAJ KISHORE KEWAT  ( MANJHI)";"BSP";"0";"Literate";"35";"180000";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"GURUCHARAN SINGH BEDI ( TEETU BHAI )";"IND";" 1";"Graduate";"45";"629";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"PRAVEEN";"IND";"0";"12th Pass";"31";"23000";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"PT. SURAJ PRASAD MISHR ( RTD. SHI.)";"SVSP";"0";"Post Graduate";"71";"1126000";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"RAJESH  DIXIT";"SP";"0";"Graduate Professional";"47";"2808800";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"RIYAZ KHAN";"IND";"0";"Graduate";"36";"63000";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"SHAIL BHARTI";"IND";"0";"Post Graduate";"66";"460000";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"SWAMI SURESH VERMA";"IND";"0";"Not Given";"45";"700";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
"VISHWANATH DUBEY";"INC";"0";"Post Graduate";"64";"277530906";"0";"No";"JABALPUR";"MADHYA PRADESH";"2004";"Lok Sabha";"No Comment"
