"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SAJJAN KUMAR";"INC";" 1";"Literate";"58";"1306055";"520477";"Yes";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"ABDUL MAJID";"JHP";"0";"12th Pass";"56";"797000";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"AMARJEET KAUR";"IND";"0";"Not Given";"41";"780836";"200000";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"ANIL BHARTI";"RVNP";"0";"Post Graduate";"33";"0";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"ANIL GOGIA";"IND";"0";"12th Pass";"32";"1572000";"2242";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"BHARAT BHUSHAN NAGAR";"BSP";"0";"12th Pass";"34";"477500";"400000";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"JAG MOHAN KALIA";"RJAP";"0";"8th Pass";"50";"10000";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"KAISAR";"NBNP";"0";"5th Pass";"33";"227000";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"KEWAL KISHAN VIRMANI";"IND";"0";"8th Pass";"35";"86000";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"KIRAN SINGH";"RVP";" 2";"12th Pass";"47";"522200";"305000";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"MAHINDER SINGH BHAMRAH";"BGTD";"0";"10th Pass";"53";"2302000";"498415";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"RAJESH SHARMA";"IND";"0";"Graduate";"36";"1854000";"180000";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"RAJPAL SHARMA";"MJM";"0";"10th Pass";"59";"453000";"513";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"RAM AWADH";"RSBP";"0";"Illiterate";"45";"11000";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"RAM JATAN";"IND";"0";"Literate";"50";"0";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"SAHIB SINGH";"BJP";" 1";"Doctorate";"61";"4863627";"56968";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"SAJJAN KUMAR";"IND";"0";"8th Pass";"26";"72000";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"SUNIL ANAND";"IND";"0";"10th Pass";"52";"1976530";"650000";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"SURINDER MOHAN";"IND";"0";"12th Pass";"53";"921400";"109000";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"SWATI BHATNAGAR";"RSD";"0";"Not Given";"34";"10000";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
"VIJAY KUMAR";"JP";"0";"Not Given";"38";"0";"0";"No";"Outer Delhi";"NATIONAL CAPITAL TERRITORY OF DELHI";"2004";"Lok Sabha";"No Comment"
