"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"VELU, R.";"PMK";"0";"Post Graduate";"63";"4610868";"97947";"Yes";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"ELANGOVAN. M";"IND";"0";"10th Pass";"41";"65000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"MANIEZHILAN, PULAVAR. A";"BBP";"0";"Others";"70";"5000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"MOHAN. R";"SP";"0";"10th Pass";"45";"430000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"RAVI. N";"IND";"0";"10th Pass";"31";"20000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"SAMPATH. G";"IND";"0";"12th Pass";"33";"35000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"SHANMUGAM. N";"ADMK";"0";"12th Pass";"57";"485000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"SHANMUGAM. N";"IND";"0";"8th Pass";"49";"268725";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"SHANMUGAM. S";"IND";"0";"10th Pass";"39";"22000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"VELU. G S";"IND";"0";"8th Pass";"30";"225000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"VELU. K";"IND";"0";"12th Pass";"32";"23000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
"VELU. M";"IND";"0";"Not Given";"47";"135000";"0";"No";"ARAKKONAM";"TAMIL NADU";"2004";"Lok Sabha";"No Comment"
