"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"RAMAKANT YADAV";"BSP";" 9";"10th Pass";"43";"17358777";"200000";"Yes";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DAN BAHADUR YADAV";"IND";"0";"10th Pass";"48";"820000";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DR. KRISHAN MOHAN TRIPATHI";"Suheldev Bhartiya Samaj Party";"0";"Doctorate";"42";"1040746";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DURGA PRASAD YADAV";"SP";"0";"Doctorate";"50";"3238633";"86413";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAJPATI VISHWAKARMA";"AD";"0";"10th Pass";"60";"4318970";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM JATAN RAM";"IND";"0";"8th Pass";"38";"45000";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM KISHUN NISHAD";"IND";"0";"Not Given";"30";"24000";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM NARESH YADAV";"INC";"0";"Doctorate";"72";"2957988";"1517533";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM NAYAN";"IND";"0";"Graduate";"38";"1000";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAMTAJEE";"IND";"0";"Not Given";"46";"57000";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SADRE ALAM AZMI";"RSBP";"0";"10th Pass";"28";"80000";"90000";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SHAH MOHAMMAD";"BJP";"0";"Literate";"47";"420000";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"VASDEV MAURYA";"RSMD";"0";"5th Pass";"49";"492000";"0";"No";"AZAMGARH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
