"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"BRIJ BHUSHAN SHARAN SINGH";"BJP";" 2";"Graduate Professional";"47";"35810577";"0";"Yes";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"AMEER HAIDER KHAN";"AIMF";"0";"Not Given";"29";"50200";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ARJUN";"IND";"0";"8th Pass";"35";"30000";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DR. MOHD UMAR";"SP";" 1";"Doctorate";"60";"3644853";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"EKBAL SIDDIQUI";"INC";"0";"Post Graduate";"58";"2597359";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"HOLI RAM";"IND";"0";"Illiterate";"49";"60000";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"JAFER ALI";"IND";"0";"12th Pass";"32";"50000";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MOHD. RAEES";"IND";"0";"Not Given";"38";"500000";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RIZWAN ZAHEER ALIAS RIJJU BHAYA";"BSP";" 2";"Graduate";"41";"4011532";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SRI RAM";"IND";"0";"10th Pass";"36";"629657";"0";"No";"BALRAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
