"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KAMLA PRASAD";"BSP";"0";"Graduate";"41";"4699000";"500000";"Yes";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ANAND PRAKASH GAUTAM";"INC";"0";"Post Graduate";"63";"1107899";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ANIL KUMAR";"RSBP";"0";"Graduate Professional";"30";"20000";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"GUDDI RAJ PAASI";"BKRP";"0";"Literate";"38";"2820000";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"GURU LAL";"IND";"0";"12th Pass";"43";"45500";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"JAGAT JEET";"IND";"0";"Graduate";"38";"366812";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAJESH KUMAR";"IND";"0";"Graduate";"25";"2300";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM NARESH RAWAT";"BJP";"0";"Post Graduate";"0";"2669574";"89329";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM SAGAR";"SP";"0";"Graduate";"54";"930641";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM SINGH";"AD";"0";"8th Pass";"33";"500";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SOHAN LAL";"IND";"0";"Not Given";"36";"170000";"0";"No";"BARA BANKI";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
