"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SURENDRA PRAKASH GOYAL";"INC";" 1";"8th Pass";"53";"6164616";"0";"Yes";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ABDUL KARIM";"MUL";"0";"5th Pass";"48";"2075000";"1000";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"COL. TEJENDRA PAL TYAGI VEER CHAKRA";"IND";"0";"Post Graduate";"58";"4775100";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DAYARAM  (HIJRA)";"IND";"0";"Illiterate";"36";"75000";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DR. MOHD IQBAL";"NBNP";"0";"Not Given";"47";"324000";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"Geeta Tomar . (advocate)";"BKD";"0";"Graduate Professional";"38";"1983362";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"KUNWAR AYYUB ALI";"BSP";"0";"Post Graduate";"38";"5326000";"1180000";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MANJEET SINGH";"IND";"0";"Not Given";"52";"193500";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NAVEEN KUMAR GAUTAM";"BRPP";"0";"Graduate";"30";"34000";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"PRADEEP KUMAR";"IJP";"0";"Graduate";"41";"1300000";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM KUMAR";"IND";"0";"Not Given";"45";"965000";"300000";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAMESH CHAND TOMAR";"BJP";"0";"Doctorate";"58";"7948654";"638638";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RANJEET";"IND";"0";"12th Pass";"63";"3410000";"400000";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"TRILOK TYAGI";"RLD";"0";"Graduate";"52";"1675000";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"USMAN QURAISHI";"IND";"0";"Illiterate";"26";"40000";"0";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"VIRENDRA TYAGI";"IND";"0";"Graduate";"35";"1799500";"300000";"No";"Hapur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
