"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SHRIPRAKASH JAISWAL";"INC";"0";"10th Pass";"59";"19127260";"0";"Yes";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"AJEET MOHAN";"IND";"0";"Post Graduate";"49";"6270870";"278945";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ANUBHAV";"BSP";" 2";"Graduate";"26";"45000";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"CHANDRA PRAKASH";"ABHM";"0";"12th Pass";"38";"5053000";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"CHANDRAMANI";"IND";"0";"Graduate";"41";"1186380";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"HAJI MUSHTAQ SOLANKI";"SP";"0";"Literate";"49";"12805719";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"JAGANNATH MISTRI";"IND";"0";"8th Pass";"61";"510000";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MANOHAR LAL";"IND";"0";"8th Pass";"38";"50000";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MOHD. HANIM ALIS KINNER RAMKALI";"IND";"0";"Illiterate";"50";"230000";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM RATAN";"RSBP";"0";"10th Pass";"65";"493000";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAVI SHANKAR BALMIKI";"IND";"0";"5th Pass";"29";"57000";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SANJEEV PANDEY";"BSDP";"0";"Graduate Professional";"30";"350000";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SAROJ RAHI";"IND";"0";"5th Pass";"37";"11424";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SATYA DEV PACHAURI";"BJP";"0";"Graduate";"56";"9266423";"132540";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SUBHASHINI ALI";"CPM";"0";"Post Graduate";"57";"7390120";"54245";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SUNIL PATEL";"AD";"0";"Post Graduate";"29";"139890";"0";"No";"Kanpur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
