"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ATAL BIHARI VAJPAYEE";"BJP";"0";"Post Graduate";"76";"5899232";"0";"Yes";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"AJAY CHATURVEDI";"IND";"0";"Graduate";"60";"746795";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"AJAY KUMAR PANDEY";"IND";"0";"Graduate Professional";"32";"68608";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ARUN KUMAR PATEL";"AD";" 1";"Post Graduate";"41";"1290000";"40000";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ASKARI (SHAKTI)";"RKSP";"0";"Graduate Professional";"29";"245000";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DOMAI";"IND";"0";"Not Given";"61";"75000";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"FAGURAM";"IND";"0";"Graduate";"43";"20670";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"JAFFAR ALI";"IND";"0";"Post Graduate";"39";"0";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"JETHMALANI RAM BOOLCHAND";"IND";" 1";"Post Graduate";"80";"102361000";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"KRISHNAPAL";"SAP";"0";"Post Graduate";"34";"285000";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MADHU GUPTA";"SP";" 1";"Doctorate";"52";"8426131";"350468";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MAHATMA PREMCHANDRA SINGH";"IND";"0";"10th Pass";"49";"0";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MAHESH KUMAR NIMBEKAR";"SHSP";"0";"Not Given";"62";"3202727";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NAND KUMAR RAJPOOT (LODHI)";"JP";"0";"Graduate";"38";"0";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NASIR ALI SIDDIQUI";"BSP";" 5";"10th Pass";"35";"201230";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"PRADEEP KUMAR RAWAT";"RSBP";"0";"Not Given";"26";"25000";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM KUMAR SHUKL";"IND";"0";"Graduate";"50";"410000";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAVI SHANKAR DIKSHIT";"IND";"0";"Doctorate";"44";"319000";"12983";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SHEKH AJIJ AHMED MO. AHMED ALIAS AJIJ AHMED DYER";"IND";" 1";"Others";"45";"35000";"0";"No";"Lucknow";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
