"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ASHOK KUMAR RAWAT";"BSP";"0";"Post Graduate";"36";"1419108";"326547";"Yes";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MOTI LAL";"IND";"0";"Not Given";"33";"118000";"0";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NAND RAM";"MNVP";"0";"8th Pass";"29";"83000";"0";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"PARAGI LAL CHAU";"BJP";"0";"10th Pass";"68";"5235690";"0";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAJ KUMAR";"IND";"0";"Not Given";"29";"6000";"0";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM ASREY";"IND";"0";"8th Pass";"61";"0";"0";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM LAL RAHI";"INC";"0";"8th Pass";"57";"6700789";"219534";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SUNILA";"CPI(ML)(L)";"0";"Literate";"30";"7500";"0";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SUSHILA DEVI";"IND";"0";"Graduate";"0";"353592";"0";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SUSHILA SAROJ";"SP";"0";"Post Graduate";"45";"13561592";"104644";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"UDAY RAJ";"IND";"0";"8th Pass";"30";"71000";"0";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"VEERENDRA KUMAR";"AD";"0";"10th Pass";"27";"2000";"400000";"No";"MISRIKH";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
