"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SONIA GANDHI";"INC";"0";"Others";"58";"8568694";"0";"Yes";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ASHOK KUMAR SINGH";"SP";" 1";"Graduate";"48";"16315000";"524960";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"BRIJLAL";"IND";"0";"Literate";"47";"3000";"0";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"GIRISH NARAYAN PANDAY";"BJP";"0";"Post Graduate";"64";"1395684";"38000";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"HARI SHANKER";"IND";"0";"10th Pass";"63";"235249";"5000";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"HIRA LAL";"IND";"0";"8th Pass";"60";"820000";"0";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"HORI LAL";"IND";"0";"Graduate";"38";"430000";"14000";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"INDRA PAL SINGH";"AD";"0";"10th Pass";"29";"115000";"0";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"JAAFAR ALI";"IND";"0";"Post Graduate";"39";"0";"0";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAJESH YADAV";"BSP";"0";"Graduate";"36";"4082000";"218316";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SHIV BALAK";"IND";"0";"8th Pass";"46";"21000";"0";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SONA DEVI";"RSBP";"0";"8th Pass";"35";"260000";"0";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SURESH KUMAR";"BKRP";" 1";"12th Pass";"32";"10000";"0";"No";"Rae Bareli";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
