"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"P. JAYA PRADA NAHATA";"SP";"0";"12th Pass";"42";"84275000";"300000";"Yes";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"AFROZ ALI KHAN";"BSP";"0";"Not Given";"46";"3290000";"450537";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"AMAR SINGH GAUTAM";"IND";"0";"12th Pass";"30";"0";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"BAGUM NOOR BANO ALIAS MEHTAB ZAMANI BEGUM";"INC";"0";"Not Given";"64";"13288946";"160000";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"GOMTI";"RPD";"0";"5th Pass";"39";"291413";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"GURNAM SINGH";"IJP";"0";"Graduate Professional";"48";"1542000";"20000";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"KALLU";"IND";"0";"5th Pass";"64";"395000";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"KAUSHAL KUMAR";"IND";"0";"Graduate";"32";"1091600";"60000";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MAHAVIR SINGH";"LP(S)";"0";"8th Pass";"37";"891000";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MOHD. REHAN";"IND";"0";"10th Pass";"30";"42000";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NAND KISHOR";"IND";"0";"8th Pass";"40";"625000";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NOOR MOHAMMAD";"JD(S)";"0";"Graduate Professional";"39";"357000";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAJENDRA KUMAR SHARMA";"BJP";"0";"Not Given";"63";"8377026";"244653";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAZA SHAN KHAN";"IND";"0";"Post Graduate";"32";"0";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SHIV BAHADUR SAXENA";"JP";"0";"12th Pass";"51";"5007000";"319275";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"VEENA SAGAR";"AD";"0";"Not Given";"34";"600000";"0";"No";"RAMPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
