"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"RASHEED MASOOD";"SP";" 1";"Post Graduate";"53";"26175490";"3050977";"Yes";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"BADROOL";"IND";"0";"12th Pass";"57";"542061";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"BRIJ PAL SINGH";"IJP";"0";"Graduate";"49";"2247000";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"CH. YASHPAL SINGH";"BJP";"0";"12th Pass";"79";"5309037";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MANSOOR ALI KHAN";"BSP";"0";"Graduate Professional";"60";"25188764";"624034";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MOHAMMAD ARIF";"IND";"0";"10th Pass";"43";"1220000";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MOHD. HUSSAIN JILANI";"MUL";"0";"Not Given";"41";"6025000";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MOHSEEN";"INLD";"0";"Graduate";"34";"35000";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"PRAKASH SHARMA";"RPI";"0";"Literate";"35";"19250";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAVEENDRA KUMAR";"IND";"0";"8th Pass";"28";"130000";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SHAHID URF POOJA";"IND";" 3";"10th Pass";"25";"33591";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SUSHIL";"IND";"0";"Not Given";"28";"2350793";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"TARA CHANDRA SHASTRI";"INC";"0";"Not Given";"54";"17198497";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"YOGENDRA";"IND";"0";"Graduate";"43";"33625";"0";"No";"SAHARANPUR";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
