"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"HARIKEVAL PRASAD";"SP";"0";"Not Given";"66";"3037000";"0";"Yes";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"BHOLA";"IND";"0";"Not Given";"48";"424000";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"BHOLA PANDEY";"INC";"0";"Doctorate";"49";"750000";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"GAURI SHANKER TRIPATHI";"JP";"0";"Graduate";"69";"2827500";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"GULAG CHAND GUPTA";"SBSP";"0";"Not Given";"42";"50000";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"HEERA LAL";"LPSP";"0";"Not Given";"51";"700000";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"KAILASH";"IND";"0";"10th Pass";"38";"444000";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ONKAR NATH";"ABHM";"0";"10th Pass";"0";"10000";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAJDHARI";"JD(U)";"0";"Post Graduate";"57";"3322226";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAJESH SAHANI";"CPI(ML)(L)";"0";"Post Graduate";"38";"0";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM SHANKER RAJBHAR VIDYARTHI JI";"BSP";"0";"Graduate";"43";"767000";"22500";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SAUKAT ALI";"AD";"0";"Graduate Professional";"38";"300000";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"UPENDRA";"IND";"0";"Not Given";"34";"68323";"0";"No";"Salempur";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
