"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"PRO. RAM GOPAL YADAV";"SP";"0";"Doctorate";"56";"7953884";"475000";"Yes";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"AJAY";"IND";"0";"12th Pass";"32";"50000";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ASHOK YADAV";"INC";" 1";"Post Graduate";"45";"16021574";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"BHAGWAN SAHAY";"RSBP";"0";"Not Given";"47";"290249";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"BHUVNESH";"IND";"0";"Graduate";"28";"150000";"39000";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DHARAMPAL YADAV D.P.YADAV";"Rashtriya Parivartn Dal";" 1";"Graduate";"51";"109667170";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"HABIBURREHMAN";"IND";"0";"Graduate";"43";"650000";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"MANOJ";"IND";"0";"Graduate";"28";"2252000";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NARESH KUMAR SHARMA";"IND";"0";"8th Pass";"40";"721026";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NOOR MUHAMMAD KURESHI";"IND";"0";"Not Given";"42";"192800";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"OMVEER SINGH";"BJP";"0";"Graduate";"28";"4873000";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SHAQEEL ALLAM SAIFI";"NBNP";"0";"12th Pass";"38";"100000";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"TARANNUM AQEEL";"BSP";"0";"Graduate";"38";"2602000";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"TOUSEEF MU. KHAN";"IND";"0";"Graduate Professional";"33";"424000";"0";"No";"Sambhal";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
