"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ANJANA PRAKASH";"SP";" 1";"Post Graduate";"48";"3671073";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"ATAHAR JAMAL LARI";"AD";"0";"Graduate";"50";"1305202";"12596";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DEV RAJ";"IND";"0";"Graduate";"30";"80000";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"DINESH CHANDRA PANDEY";"PMSP";"0";"Not Given";"37";"637000";"4000";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"GANESH RAM";"IND";"0";"Not Given";"40";"631000";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"KAMAL CHAND";"GGP";"0";"Graduate";"35";"500";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"KANHAYA";"SBSP";"0";"8th Pass";"31";"89000";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"KHAGENDRA NATH PANDEY";"IND";"0";"Not Given";"41";"10093";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"LALJI RAM";"PTSS";"0";"Post Graduate";"45";"40000";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"NARENDRA NATH DUBEY ADIG";"IND";" 6";"Post Graduate";"37";"1869773";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAM PRASAD BAVLA";"IND";"0";"Literate";"30";"85000";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"RAMJI";"IND";"0";"Literate";"42";"224000";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SHALENDRA KUMAR ALIAS (EX DY. S.P)";"IND";"0";"Post Graduate";"37";"4095000";"500000";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SHANKAR PRASAD JAISWAL";"BJP";"0";"10th Pass";"66";"5083617";"0";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
"SURESH SINGH ALIAS SURESH";"IND";"0";"8th Pass";"27";"122000";"200000";"No";"Varanasi";"UTTAR PRADESH";"2004";"Lok Sabha";"No Comment"
