"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"K. C. SINGH BABA";"INC";"0";"12th Pass";"58";"23708052";"2906552";"Yes";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"BHAWAN SINGH BISHT";"IND";"0";"10th Pass";"26";"55000";"0";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"BHUWAN CHANDRA JOSHI";"UKKD";"0";"Graduate Professional";"35";"74723";"26404";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"CH. VIJAY PAL SINGH";"IND";"0";"Post Graduate";"49";"635000";"0";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"KUMARI BHAWANA PANDEY";"IND";" 4";"12th Pass";"35";"391177";"29198";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"RAJESH SHUKLA";"SP";" 2";"Graduate";"33";"7344490";"0";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"RUPENDRA NAAGAR";"SHS";" 2";"Post Graduate";"32";"30000";"0";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"SHEESH PAL ARYA";"IJP";"0";"12th Pass";"44";"651560";"0";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"SYED  GULAM HASNAIN";"BSP";"0";"Graduate Professional";"48";"5865923";"34154";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"VIJAY BANSAL";"BJP";"0";"Post Graduate";"52";"12323481";"32241";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
"ZAHEER  A. ANSARI";"JP";"0";"Graduate";"30";"35370";"38265";"No";"NAINITAL";"UTTARANCHAL";"2004";"Lok Sabha";"No Comment"
