"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Samik Lahiri";"CPM";"0";"Graduate";"37";"232000";"0";"Yes";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Abdur Rauf Baidya";"IND";" 1";"Not Given";"55";"76165";"0";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Amit Sundar Purkait";"IND";" 1";"Not Given";"0";"5000";"0";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Bechu Mondal";"IND";"0";"Post Graduate";"54";"536171";"0";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Daulat Ali Sheikh";"INC";"0";"Graduate";"64";"516826";"90";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Dr. Dhiren Mondal";"BSP";"0";"Post Graduate";"66";"99322";"0";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Mainuddin Chisty";"IND";"0";"Post Graduate";"47";"264000";"3965";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Mala Banerj";"JUM";"0";"Graduate";"50";"124364600";"0";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Saugata Roy";"AITC";"0";"Graduate";"56";"2746143";"0";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Sekh  Nasir Udd";"IND";"0";"8th Pass";"34";"485000";"0";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Sekh  Nazrul Islam";"SP";"0";"Post Graduate";"36";"282750";"0";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Zameerul Hasa";"INL";"0";"Not Given";"46";"28421000";"9195281";"No";"DIAMOND HARBOUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
