"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sujan Chakraborty";"CPM";"0";"Doctorate";"44";"1046232";"0";"Yes";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Anisur Rahma";"INL";"0";"Post Graduate";"33";"78200";"0";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Arabindu Hald";"BSP";"0";"Graduate";"62";"35000";"175";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Arup Ghosh";"IND";"0";"12th Pass";"39";"13063";"0";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Badan Bairag";"IND";"0";"Graduate";"31";"153500";"0";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Banasree Chakraborty";"IND";"0";"Post Graduate";"48";"610500";"26586";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Jit Narayan Singh";"IND";"0";"12th Pass";"40";"2017800";"0";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Krishna Bos";"AITC";"0";"Post Graduate";"72";"6087332";"32187";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Prof. Omprakash Mishra";"INC";"0";"Post Graduate";"43";"735000";"456377";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Tapan Sarka";"IND";"0";"12th Pass";"31";"459876";"0";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Tapas Kumar Howlad";"IND";"0";"12th Pass";"27";"7000";"0";"No";"JADAVPUR";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
