"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Bir Singh Mahato";"AIFB";" 2";"Post Graduate";"58";"1474102";"314287";"Yes";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Ajoy Kumar Tudu";"JDP";"0";"Others";"49";"265000";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Anil Kumar Choudhury";"JD(U)";"0";"Post Graduate";"38";"1063586";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Dhiren Chandra Rajak";"JKP(N)";"0";"Others";"46";"100000";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Gomasta Prasad So";"Jharkhand Party";"0";"Others";"60";"911798";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Mihir Kumar Rajwa";"BSP";"0";"Not Given";"48";"136000";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Nilkamal Mahato";"IND";"0";"Not Given";"65";"150000";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Niyati Mahato";"AITC";"0";"12th Pass";"39";"606962";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Pranati Bhattacharya";"IND";"0";"Graduate";"54";"0";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Shantiram Mahato";"INC";" 1";"12th Pass";"51";"669263";"9816";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Thakur Das Kisku";"Amra Bangalee";"0";"Others";"45";"207000";"0";"No";"Purulia";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
