"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Santasri Chatterjee";"CPM";"0";"Graduate";"64";"1698395";"0";"Yes";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Akbar Ali Khandok";"AITC";"0";"Graduate";"47";"3035064";"336323";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Avash Munsh";"IND";"0";"10th Pass";"38";"362571";"46656";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Bidyut Raut";"IND";"0";"Graduate";"57";"249634";"0";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Dilip Bhattacharya";"IND";" 1";"Graduate";"61";"2046308";"37500";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Indradeo Ray";"SP";"0";"Not Given";"44";"154800";"0";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Kesto Mukherj";"INC";"0";"10th Pass";"58";"1616387";"0";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Sabitri Das";"BSP";"0";"Others";"47";"73000";"0";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Sukumar Malik";"IND";"0";"10th Pass";"33";"6550";"0";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
"Suresh Nayak";"JD(S)";"0";"Others";"33";"437275";"0";"No";"SERAMPORE";"WEST BENGAL";"2004";"Lok Sabha";"No Comment"
