"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sabbam Hari";"INC";"0";"12th Pass";"55";"85032286";"450000";"Yes";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"ALLU ARAVIND";"PRAP";" 1";"Graduate";"62";"452181969";"53958644";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Bheemisetti Nageswararao";"RJD";"0";"Post Graduate";"41";"1120500";"200000";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Boyina Nageswara Rao";"JD(U)";"0";"5th Pass";"52";"500000";"380898";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Kirla Appa Rao";"BJP";"0";"Not Given";"57";"50000";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Nanda Gopal Gandham";"IND";"0";"Others";"60";"148180000";"30000000";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"NOOKARAPU SURYA PRAKASA RAO";"TDP";"0";"Graduate";"50";"119726600";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Pathala Satya Rao";"IND";"0";"Literate";"46";"150000";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Pulamarasetti .Venkata Ramana";"PPOI";"0";"Graduate";"28";"3500";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Venkata Ramana Babu Pilla";"BSP";"0";"10th Pass";"35";"6046173";"1798837";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
