"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ANANTHA VENKATA RAMI REDDY";"INC";"0";"Post Graduate";"52";"13015000";"0";"Yes";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"AMARNATH";"LSP";"0";"Graduate";"32";"488500";"0";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"AMBATI RAMA KRISHNA REDDY";"BJP";"0";"Graduate Professional";"41";"25550000";"251000";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"DEVELLA MURALI";"IND";"0";"5th Pass";"45";"0";"0";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"G HARI";"PPOI";"0";"Post Graduate";"30";"80000";"0";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"GADDALA NAGABHUSHANAM";"BSP";" 2";"Post Graduate";"48";"575000";"9000";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"J C RAMANUJULA REDDY";"IND";"0";"8th Pass";"52";"2543000";"0";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"K P NARAYANA SWAMY";"IND";"0";"Graduate";"41";"0";"0";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"KALAVA SRINIVASULU";"TDP";"0";"Post Graduate";"44";"4205517";"1950000";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"KRUSHNAPURAM GAYATHRI DEVI";"CPI(ML)(L)";"0";"5th Pass";"36";"1057900";"750000";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"MANSOOR";"PRAP";"0";"10th Pass";"56";"33790000";"0";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"T CHANDRA SEKHAR";"IND";"0";"Not Given";"30";"800000";"0";"No";"ANANTAPUR";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
