"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KOMATIREDDY RAJ GOPAL REDDY";"INC";"0";"Graduate";"41";"194763618";"6057899";"Yes";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Chintha Samba Murthy";"BJP";"0";"Graduate";"50";"165000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gandam Chandramoul";"PRAP";"0";"Post Graduate";"49";"2700000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Mamidigalla John Babu";"IND";"0";"Not Given";"40";"0";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Medi Narsimha";"IND";"0";"10th Pass";"31";"360000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Nomula Narsimhaiah";"CPM";" 3";"Post Graduate";"53";"10247088";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Palla Prabhakar Reddy";"PPOI";"0";"Graduate";"65";"6600000";"50000";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Peruku Anjaiah";"IND";"0";"12th Pass";"46";"570000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Poosa Bala Kisha";"IND";"0";"12th Pass";"35";"42000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Racha Subhadra Reddy";"LSP";"0";"Graduate";"59";"2950000";"150000";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Rupani Ramesh Vaddera";"IND";"0";"12th Pass";"31";"160000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Sangu Mallayya";"IND";"0";"Not Given";"66";"50000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Siddhartha Pooley";"BSP";"0";"Post Graduate";"39";"110000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Sirupangi Ramulu";"IND";" 1";"5th Pass";"55";"1505000";"0";"No";"Bhongir";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
