"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KAVURI SAMBASIVA RAO";"INC";"0";"Graduate Professional";"66";"126050111";"945674";"Yes";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"DODDA KAMESWARA RAO";"IND";"0";"10th Pass";"54";"2010000";"0";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"DOWLURI GOVARDHAN";"IND";" 1";"5th Pass";"32";"33227";"15000";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"KASI NAIDU KAMMILI";"IND";"0";"10th Pass";"39";"60000";"0";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"KOLUSU PEDA REDDAIAH YADAV";"PRAP";"0";"Graduate Professional";"67";"79364590";"190000";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"MAGANTI VENKATESWARA RAO(BABU)";"TDP";"0";"12th Pass";"49";"64298108";"1253750";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"PILLELLI SUNIL";"BSP";"0";"Not Given";"35";"0";"0";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"SAVANAPUDI NAGARAJU";"MCPI(S)";"0";"Not Given";"48";"600";"0";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"SIRIKI SRINIVAS";"RDMP";"0";"Post Graduate";"32";"5000";"0";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"TANUKU SEKHAR";"IND";"0";"8th Pass";"45";"70600";"0";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Y.V.S.V. PRASADA RAO (YERNENI PRASADA RAO)";"PPOI";"0";"Graduate";"61";"4315000";"373750";"No";"Eluru";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
