"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KRISTAPPA NIMMALA";"TDP";"0";"Graduate";"52";"15917465";"1216390";"Yes";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"B. NAGABHUSHANA RAO";"IND";"0";"Graduate";"76";"4547188";"335000";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"K. JAKEER";"IND";"0";"8th Pass";"40";"80000";"0";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"KADAPALA SREEKANTHA REDDY";"PRAP";"0";"Post Graduate";"56";"66073943";"1484577";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"M SREERAMULU";"BSP";"0";"Post Graduate";"30";"200000";"0";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Naresh Kuma";"BJP";"0";"10th Pass";"45";"69665000";"3600000";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"NIRANJAN BABU. K";"LSP";"0";"Graduate Professional";"30";"20000";"0";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"P KHASIM KHAN";"INC";"0";"Graduate";"53";"5190960";"2432826";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"P. PRASAD";"IND";"0";"Graduate Professional";"32";"280000";"0";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"S. MUSKIN VALI";"PPOI";"0";"Not Given";"26";"50000";"0";"No";"Hindupur";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
