"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"M M Pallamraju";"INC";"0";"Post Graduate";"46";"65589882";"1112763";"Yes";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Akay Suryanarayana";"IND";"0";"8th Pass";"50";"0";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Aluri Vijaya Lakhsm";"LSP";"0";"Post Graduate";"64";"25098100";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Badampudi Baburao";"IND";" 1";"5th Pass";"51";"0";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Bikkina Visweswara Rao";"BJP";"0";"Graduate Professional";"34";"8740000";"952000";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Bugatha Bangarrao";"CPI(ML)(L)";" 7";"10th Pass";"48";"230560";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"C Surya Narayana Murthy";"IND";"0";"Others";"44";"45300";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Chalamalasetty Sunil";"PRAP";"0";"Post Graduate";"39";"109877965";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Danam Lazar Babu";"IND";"0";"Graduate Professional";"42";"710000";"400000";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Dommeti Sudhaka";"BSP";"0";"Post Graduate";"51";"1060000";"70000";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gali Satyavath";"RPI";"0";"Not Given";"40";"120000";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gidla Simhachalam";"RDMP";"0";"Graduate Professional";"50";"0";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"K Udaya Kuma";"TNPP";" 1";"Graduate Professional";"36";"430000";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"N Pallam Raju";"Ajeya Bharat Party";"0";"Graduate";"52";"4325000";"500000";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Namala Satyanarayana";"RDHP";"0";"Graduate Professional";"45";"560000";"0";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Vasamsetty Satya";"TDP";"0";"Graduate";"44";"24485000";"5500000";"No";"Kakinada";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
