"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"M Rajamohan Reddy";"INC";"0";"Graduate Professional";"59";"363462696";"0";"Yes";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Bathina Narasimha Rao";"BJP";"0";"Not Given";"65";"11187000";"1500000";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"D Venkata Bhaskar Reddy";"IND";"0";"10th Pass";"37";"140000";"0";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Jana Ramachandraiah";"PRAP";"0";"Graduate Professional";"56";"148473064";"54864453";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Karimulla";"IND";"0";"12th Pass";"42";"25000";"0";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"M Chandra Sekhar Yadav";"IND";"0";"Doctorate";"40";"680000";"0";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"S Padma Nageswara Rao";"BSP";"0";"Not Given";"59";"2750000";"0";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"S Satyanarayana";"PPOI";"0";"Graduate";"41";"0";"0";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Syed Hamza Hussainy";"IND";"0";"Graduate Professional";"46";"2750000";"200079";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"V Venu Gopala Reddy";"TDP";"0";"Post Graduate";"59";"40291993";"0";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Vemuri Bhaskara Rao";"LSP";"0";"Graduate Professional";"36";"4330000";"591000";"No";"NELLORE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
