"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. G. Vivekanand";"INC";"0";"Graduate Professional";"51";"729509675";"0";"Yes";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"A. David Raju";"PRAP";" 1";"10th Pass";"36";"1460000";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"A.Kamalamma";"IND";"0";"Not Given";"36";"155000";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Ambala Mahenda";"IND";"0";"5th Pass";"38";"0";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"B.Mallaiah";"IND";"0";"Not Given";"32";"0";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"D.Ramulu";"IND";"0";"5th Pass";"51";"300000";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Domasa Srinivas";"TRS";" 2";"12th Pass";"41";"4179400";"1950000";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gaddala Vinay Kuma";"IND";"0";"8th Pass";"51";"5284500";"1050";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gajjela Swamy";"BSP";"0";"10th Pass";"49";"1574000";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gorre Ramesh";"IND";"0";"Graduate Professional";"42";"300000";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"K.Rajaswa";"IND";"0";"Not Given";"38";"0";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Krishna Sabbal";"MCPI(S)";"0";"Not Given";"39";"0";"30000";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Mathangi Narsaiah";"BJP";"0";"Post Graduate";"63";"8914000";"7000";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Nallala Kanukaiah";"IND";"0";"10th Pass";"39";"67500";"0";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"S.Laxmaiah";"IND";"0";"10th Pass";"41";"350000";"50000";"No";"PEDDAPALLE";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
