"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"PRADEEP KUMAR SINGH";"BJP";" 3";"10th Pass";"43";"257014";"764726";"Yes";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"DINESH RATHOUR";"IND";" 22";"Literate";"31";"180000";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"KANHAIYA KUMAR DAS";"IND";"0";"Others";"27";"541000";"275000";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MD. SAJJAD";"IND";" 2";"Literate";"56";"460825";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"NAND LAL PASWAN";"IND";"0";"Literate";"47";"65000";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"NITYA NAND BISHWAS";"IND";"0";"Literate";"46";"425000";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"OM PRAKASH";"IND";"0";"12th Pass";"37";"1452313";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SADA NAND CHOUDHARY";"IND";"0";"Graduate";"50";"233574";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SADHANA DEVI";"IND";"0";"10th Pass";"34";"89000";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SANJAY KUMAR JHA";"IND";"0";"Graduate";"38";"807000";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SATYA NARAYAN WRITER";"IND";" 1";"Post Graduate";"35";"800000";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SUKDEO PASWAN";"IND";" 1";"10th Pass";"56";"20216835";"903414";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
"VIJAY SAH";"IND";"0";"8th Pass";"32";"25200";"0";"No";"ARARIA";"BIHAR";"2009";"Lok Sabha";"No Comment"
