"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SYED SHAHNAWAZ HUSSAIN";"BJP";"0";"10th Pass";"40";"7472000";"101000";"Yes";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"DEEPAK RAM";"BSP(K)";"0";"Graduate";"40";"0";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"DR. N. K. YADAV";"IND";" 1";"Doctorate";"44";"18562039";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"INDRADEO KUMAR SINGH";"IND";"0";"Graduate Professional";"30";"45000";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"LADDU";"IND";"0";"Literate";"27";"5000";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MD. IZRAIL";"LTSD";" 1";"8th Pass";"49";"2466500";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAM VILASH PASWAN";"RWS";"0";"8th Pass";"45";"2250000";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAMAN SAH";"BJJD";" 1";"Graduate Professional";"44";"1044133";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SADANAND SINGH";"INC";" 1";"Graduate";"64";"11368807";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SHAKUNI CHOUDHARY";"RJD";" 5";"10th Pass";"64";"10315696";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SUBODH ROY";"CPM";"0";"Graduate";"65";"980736";"0";"No";"BHAGALPUR";"BIHAR";"2009";"Lok Sabha";"No Comment"
