"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"NIKHIL KUMAR CHOUDHARY";"BJP";" 4";"Graduate";"63";"8018754";"802308";"Yes";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"AHMAD ASHFAQUE KARIM";"LJP";"0";"Graduate";"53";"33733000";"5444000";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"BABU LAL MARANDI";"IND";"0";"Not Given";"33";"55000";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"CHANDU MURMU";"IND";"0";"10th Pass";"43";"56300";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"HIMRAJ SINGH";"IND";"0";"12th Pass";"49";"734282";"838532";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MAHBOOB ALAM";"CPI(ML)(L)";" 9";"12th Pass";"52";"145500";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MANOJ PARASAR";"IND";"0";"Doctorate";"44";"555000";"213000";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MOHAMMAD HAMID MUBARAK";"IND";"0";"Others";"33";"376500";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MUNNI DEVI";"Akhil Bharatiya Jan Sangh";"0";"Literate";"35";"738000";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"OM PRAKASH PODDAR";"BJJD";"0";"Doctorate";"38";"50000";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"PHOOLO DEVI";"IND";"0";"Literate";"40";"701600";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAJESH GURNANI";"LTSD";"0";"Post Graduate";"34";"940000";"350000";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAJGIRI SINGH";"IND";"0";"Graduate";"53";"210890";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SHAH TARIQ ANWAR";"NCP";" 1";"Graduate";"58";"24649607";"150227";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SUNIL KUMAR CHOUDHARY";"IND";"0";"10th Pass";"39";"184500";"0";"No";"Katihar";"BIHAR";"2009";"Lok Sabha";"No Comment"
