"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Uma Shanaker Singh";"RJD";" 2";"10th Pass";"61";"10145601";"450000";"Yes";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Banke Bihari Singh";"IND";"0";"12th Pass";"35";"3521197";"0";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Brinda Pathak";"IND";"0";"Graduate";"63";"2310000";"0";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Dhurendra Ram";"IND";"0";"8th Pass";"47";"156500";"0";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Gautam Prasad";"IND";"0";"12th Pass";"30";"87526";"321803";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Prabhunath Singh";"JD(U)";" 2";"12th Pass";"56";"4447753";"390606";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Pradeep Manjh";"IND";"0";"5th Pass";"32";"170000";"0";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Rabindra Nath Mishra";"BSP";"0";"Post Graduate";"54";"6093095";"5600000";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Rajesh Kumar Singh";"IND";"0";"12th Pass";"26";"250000";"0";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RameshSinghKushwaha";"LTSD";" 4";"8th Pass";"49";"1451300";"200000";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Satendra Kumar Saha";"CPI(ML)(L)";"0";"Graduate";"41";"1847500";"208500";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
"Tarkeswar Singh";"INC";" 7";"Graduate";"51";"4386101";"803889";"No";"MAHARAJGANJ";"BIHAR";"2009";"Lok Sabha";"No Comment"
