"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SHATRUGHAN SINHA";"BJP";"0";"Graduate";"62";"150033976";"25878099";"Yes";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"ANJANI KUMAR";"IND";"0";"Post Graduate";"34";"3095000";"0";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"DEEPAK KUMAR SINGH";"IND";"0";"Doctorate";"31";"3881941";"361691";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"DR. DIWAKER TEJASWI";"BUDM";"0";"Doctorate";"40";"5715000";"350000";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"HASSAN FAIZI HASHMI";"ANC";" 3";"Graduate";"40";"36000";"513000";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"HEMANT KUMAR SINGH";"IND";"0";"Graduate";"52";"3830000";"525000";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"KUMAR RAJIV";"IND";"0";"Others";"38";"455000";"0";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"ON MASUMI";"LTSD";"0";"12th Pass";"37";"375000";"0";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"PANKAJ KUMAR SHARMA";"IND";"0";"Graduate";"36";"3354611";"2000000";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"PRAMOD KUMAR GUPTA";"IND";"0";"8th Pass";"41";"830000";"0";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAM BHAJAN SINGH NISHAD";"IND";"0";"Graduate";"40";"1945724";"300000";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAM NARAYAN RAI";"CPI(ML)(L)";"0";"12th Pass";"60";"2153636";"0";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SANJAY VERMA";"IND";"0";"Graduate";"42";"5244282";"0";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SHEKHAR SUMAN";"INC";"0";"Graduate";"52";"71921001";"75384735";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"VIDHAN CHANDRA RANA";"IND";"0";"Graduate";"33";"0";"0";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
"VIJAY KUMAR";"RJD";"0";"12th Pass";"52";"24735299";"315000";"No";"PATNA SAHIB";"BIHAR";"2009";"Lok Sabha";"No Comment"
