"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"MAHESWER HAZARI";"JD(U)";"0";"Post Graduate";"38";"6964921";"1054356";"Yes";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"DR. ASHOK KUMAR";"INC";"0";"Graduate Professional";"54";"3563403";"2546415";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"JEEBACHH PASWAN";"CPI(ML)(L)";" 4";"12th Pass";"41";"6800";"50000";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAJA RAM DAS";"IND";"0";"10th Pass";"56";"6005665";"0";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAM CHANDRA PASWAN";"LJP";"0";"10th Pass";"47";"16976258";"3500000";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"REKHA KUMARI";"IND";"0";"12th Pass";"29";"180000";"0";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SATISH MAHTO";"IND";"0";"12th Pass";"33";"60044";"0";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SHIVCHANDRA PASWAN";"IND";"0";"Post Graduate";"31";"619000";"0";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"UPENDRA PASWAN";"LTSD";"0";"12th Pass";"42";"120000";"0";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
"VINDESHWAR Ram";"BSP";" 1";"Post Graduate";"59";"955931";"20050";"No";"Samastipur";"BIHAR";"2009";"Lok Sabha";"No Comment"
