"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"BAIDYANATH PRASAD MAHTO";"JD(U)";" 1";"10th Pass";"51";"4428802";"520445";"Yes";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"AMBIKA SINGH";"IND";" 1";"Post Graduate";"53";"10500000";"100000";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"BIRENDRA PRASAD GUPTA";"CPI(ML)(L)";" 8";"12th Pass";"40";"1121000";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"DEORAJ RAM";"IND";"0";"Not Given";"31";"617000";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"DILIP VERMA";"NCP";"0";"Not Given";"52";"22093716";"483884";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"FAKHRUDDIN";"IND";" 3";"8th Pass";"37";"433676";"12000";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MAGISTER YADAV";"IND";"0";"Not Given";"42";"212000";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MANAN MISHRA";"BSP";"0";"Graduate Professional";"48";"17462300";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"MANOHAR MANOJ";"IND";"0";"Post Graduate";"40";"4306000";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAGHUNATH JHA";"RJD";"0";"12th Pass";"63";"16964767";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAKESH KUMAR PANDEY";"IND";"0";"12th Pass";"51";"2070000";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"RAMASHANKAR PRASAD";"IND";" 1";"8th Pass";"35";"103100";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SATYANARAIN YADAV";"IND";"0";"10th Pass";"28";"295000";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"SHAILENDRA KUMAR GARHWAL";"LTSD";" 2";"Graduate Professional";"38";"1113598";"212658";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
"UMESH";"IND";"0";"12th Pass";"36";"974510";"0";"No";"VALMIKI NAGAR";"BIHAR";"2009";"Lok Sabha";"No Comment"
