"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"PAWAN KUMAR BANSAL";"INC";"0";"Graduate Professional";"60";"38729400";"0";"Yes";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"AJAY GOYAL";"IND";"0";"Graduate Professional";"43";"177352496";"0";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"DARSHAN SINGH";"IND";"0";"10th Pass";"34";"264701";"0";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"DES RAJ";"IND";"0";"Not Given";"43";"2721382";"567";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"GOSWAMI VISHWA BHUSHAN BHARTI";"JD(U)";"0";"12th Pass";"31";"101000";"0";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"HAFFIZ ANWAR UL HAQ";"RJD";"0";"Graduate";"37";"10647034";"1224056";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"HARMOHAN DHAWAN";"BSP";"0";"Post Graduate";"69";"146979000";"170000";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"KAFIL AHMAD";"IND";"0";"5th Pass";"52";"133900";"0";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"KHEM LAL BANSAL";"IND";"0";"Graduate Professional";"63";"35323500";"350000";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"MAYA DEVI";"IND";"0";"Illiterate";"36";"220000";"250000";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"PARAS NATH";"AD";"0";"Graduate";"43";"40000";"10000";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"RAM PAL HANS";"IND";"0";"Graduate";"46";"10000";"0";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"S K SURI";"IND";"0";"Post Graduate";"67";"12096777";"5130000";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
"SATYA PAL JAIN";"BJP";"0";"Post Graduate";"56";"93237145";"4266982";"No";"CHANDIGARH";"CHANDIGARH";"2009";"Lok Sabha";"No Comment"
