"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Vishu Deo Sai";"BJP";"0";"10th Pass";"45";"2302000";"0";"Yes";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Amrit Tirkey";"IND";"0";"8th Pass";"30";"517000";"0";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Bahadur Singh Rathia";"BSP";"0";"5th Pass";"57";"2330000";"200000";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Darshan Sida";"GGP";"0";"5th Pass";"32";"4526000";"0";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Haldharram Sida";"IND";"0";"Graduate";"42";"1025000";"85156";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Hirdayaram Rathiya";"INC";"0";"Post Graduate";"43";"2145000";"308875";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Kamrish Singh Gond";"IND";"0";"12th Pass";"59";"567500";"0";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Meera Devi Singh Tirkey";"CGVP";"0";"Graduate";"39";"640000";"0";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Sanjay Tirkey";"IND";"0";"Not Given";"29";"1371000";"389595";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"ShiraChand Ekka";"JMM";"0";"Others";"29";"874500";"0";"No";"RAIGARH";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
