"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Madhusudan Yadav";"BJP";" 1";"12th Pass";"38";"1165680";"0";"Yes";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Ajay Jaiswal";"IND";" 1";"8th Pass";"35";"1502000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Ajay Pal";"IND";"0";"5th Pass";"32";"130000";"500000";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Bhag Chanda Vaidhya";"IND";"0";"Doctorate";"48";"100000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"D.R.Yadav Pracharya";"IND";"0";"Post Graduate";"66";"875000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Derha Ram Lodh";"IND";"0";"Graduate";"37";"445000";"75000";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Dilip Rathod Sampadak";"IND";"0";"Others";"40";"1400000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Gangaram Nishad";"EKSP";"0";"Not Given";"48";"0";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Jalal Mohammad Quresh";"IND";"0";"10th Pass";"45";"80000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Madan Yadav";"IND";"0";"Not Given";"34";"0";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Mangaldas Banga";"IND";"0";"Others";"52";"2125000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Narad Khothaliya";"CGVP";"0";"5th Pass";"48";"18300";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
"Praduman Netam";"BSP";"0";"Not Given";"32";"0";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2009";"Lok Sabha";"No Comment"
