"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ramesh Rathod";"TDP";" 2";"12th Pass";"43";"3410000";"815241";"Yes";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"A Laxman Rao";"IND";"0";"10th Pass";"47";"1560000";"0";"No";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Ade Tukaram";"BJP";"0";"10th Pass";"55";"865000";"370000";"No";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Banka Sahadev";"IND";"0";"Not Given";"56";"118000";"0";"No";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"G Pentanna";"IND";"0";"Post Graduate";"36";"436000";"13000";"No";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Kotnak Ramesh";"INC";"0";"12th Pass";"39";"2600000";"0";"No";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Masram Nago Rao";"PRAP";"0";"Post Graduate";"59";"350000";"0";"No";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"N Ramdas";"IND";"0";"5th Pass";"35";"0";"0";"No";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Rathod Sadashiv Naik";"BSP";"0";"Graduate";"50";"1150000";"0";"No";"Adilabad";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Dr. G. Vivekanand";"INC";"0";"Graduate Professional";"51";"729509675";"0";"Yes";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"A. David Raju";"PRAP";" 1";"10th Pass";"36";"1460000";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"A.Kamalamma";"IND";"0";"Not Given";"36";"155000";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Ambala Mahenda";"IND";"0";"5th Pass";"38";"0";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"B.Mallaiah";"IND";"0";"Not Given";"32";"0";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"D.Ramulu";"IND";"0";"5th Pass";"51";"300000";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Domasa Srinivas";"TRS";" 2";"12th Pass";"41";"4179400";"1950000";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gaddala Vinay Kuma";"IND";"0";"8th Pass";"51";"5284500";"1050";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gajjela Swamy";"BSP";"0";"10th Pass";"49";"1574000";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gorre Ramesh";"IND";"0";"Graduate Professional";"42";"300000";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"K.Rajaswa";"IND";"0";"Not Given";"38";"0";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Krishna Sabbal";"MCPI(S)";"0";"Not Given";"39";"0";"30000";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Mathangi Narsaiah";"BJP";"0";"Post Graduate";"63";"8914000";"7000";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Nallala Kanukaiah";"IND";"0";"10th Pass";"39";"67500";"0";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"S.Laxmaiah";"IND";"0";"10th Pass";"41";"350000";"50000";"No";"Peddapalle";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Ponnam Prabhakar";"INC";"0";"Graduate Professional";"41";"1287000";"0";"Yes";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Balla Suresh";"IND";"0";"5th Pass";"32";"2000";"0";"No";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Barige Gattaiah Yadav";"IND";"0";"Not Given";"32";"0";"0";"No";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Ch. Janga Reddy";"BJP";" 1";"12th Pass";"75";"30128100";"18630";"No";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Gaddam Raji Reddy";"IND";"0";"Not Given";"48";"1030000";"0";"No";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Kandem Prabhaka";"IND";"0";"10th Pass";"44";"1700000";"0";"No";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Korivi Venugopal";"IND";"0";"Graduate Professional";"47";"410000";"0";"No";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Lingampalli Srinivas Reddy";"MCPI(S)";"0";"10th Pass";"39";"75520";"0";"No";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
"Panakanti Satish Kuma";"IND";"0";"Graduate Professional";"46";"181357";"138666";"No";"Karimnagar";"ANDHRA PRADESH";"2009";"Lok Sabha";"No Comment"
