"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"COSME FRANCISCO CAITANO SARDINHA";"INC";"0";"Graduate Professional";"62";"29473470";"443500";"Yes";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"ADV. NARENDRA KESHAV SAWAIKAR";"BJP";"0";"Graduate Professional";"42";"3483623";"0";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"ADV. RAJU MANGESHKAR ALIAS RAJENDRA NAIK";"CPI";"0";"Post Graduate";"52";"3114150";"99614";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"DERICK DIAS";"IND";"0";"Graduate";"41";"345000";"0";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"DIAS JAWAHAR";"IND";"0";"Post Graduate";"53";"419240240";"6500";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"FRANCISCO ANTONIO JOAO DE PHILOMENO FERNANDES";"IND";"0";"Post Graduate";"51";"8749500";"550000";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"HAMZA KHAN";"IND";"0";"10th Pass";"57";"80000";"23000";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"MATANHY SALDANHA";"UGDP";"0";"Post Graduate";"60";"36370000";"171960";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"MULLA SALIM";"IND";"0";"12th Pass";"25";"45000";"0";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"ROHIDAS HARICHANDRA BORKAR";"SGF";"0";"10th Pass";"63";"200000";"500000";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
"SALUNKE SMITA PRAVEEN";"IND";"0";"Post Graduate";"38";"11224755";"467996";"No";"SOUTH GOA";"GOA";"2009";"Lok Sabha";"No Comment"
