"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KIRITBHAI PREMJIBHAI SOLANKI";"BJP";"0";"Graduate Professional";"59";"26122439";"709488";"Yes";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"BHIKA FULA SAVLE";"RPI(A)";"0";"Literate";"31";"65000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"DALPATBHAI KHIMABHAI VANZARA";"IND";"0";"8th Pass";"42";"75000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"ISHWARBHAI DHANABHAI MAKWANA";"LJP";"0";"Graduate";"58";"4000000";"650000";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"ISHWARBHAI KHANDAS SHAH";"IND";"0";"Literate";"74";"526000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"KANTIBHAI HEMABHAI SOLANKI";"IND";"0";"Graduate";"47";"158000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"MOHANBHAI KARSANBHAI PARMAR";"LPSP";" 1";"Literate";"53";"2001000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"NARENDRASINH MANSINH SANKHALIYA";"Loktantrik Samajwadi Party";" 1";"Graduate";"47";"268467";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"PRAHALADBHAI NATHUBHAI CHAUHAN";"IND";"0";"Not Given";"55";"426000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"PRAVINBHAI SHANKARLAL SOLANKI";"BSP";"0";"Not Given";"44";"8023840";"2671044";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAMESHBHAI DANABHAI SOLANKI";"IND";"0";"10th Pass";"48";"55000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RATNABEN DAHYABHAI VORA";"IND";" 1";"Post Graduate";"42";"1260260";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SHAILESH MANHARBHAI PARMAR";"INC";"0";"Post Graduate";"39";"8285270";"277871";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"VEDUBHAI KAUTIKBHAI SIRSATH";"IJP";"0";"Literate";"36";"0";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"VIJAYKUMAR MANJIBHAI VATHEL";"All India Minorities Front";"0";"Not Given";"37";"88000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"VITTHALBHAI MAGANBHAI SOLANKI";"IND";"0";"10th Pass";"49";"95000";"0";"No";"Ahmedabad West";"GUJARAT";"2009";"Lok Sabha";"No Comment"
