"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"NARANBHAI BHIKHABHAI KACHHADIYA";"BJP";"0";"5th Pass";"53";"4748283";"300000";"Yes";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"CHANDRAKANT RAMJIBHAI BARAIYA";"SP";" 4";"8th Pass";"41";"528800";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"CHANDUBHAI RANABHAI ASLALIYA";"IND";"0";"Literate";"38";"498500";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"DHIRUBHAI BHANABHAI BHAROLA";"BSP";"0";"12th Pass";"38";"390500";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"GULMOHAMMAD ISMAIL KHOKHHOR";"IND";"0";"10th Pass";"40";"0";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"JAYSUKHBHAI LALJIBHAI KASWALA";"Loktantrik Samajwadi Party";"0";"Literate";"39";"450000";"5000";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"MADHUBHAI HARJIBHAI BHUVA";"NCP";"0";"Graduate";"61";"9395649";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"NATHABHAI VALLABHBHAI SUKHADIA";"IND";" 1";"Literate";"34";"525000";"70000";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"NILABEN JAYSUKHBHAI THUMAR";"IND";"0";"Literate";"42";"128000";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"NILABEN VIRJIBHAI THUMAR";"INC";"0";"Graduate";"49";"12655811";"38218";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAMBHAI JINABHAI GOHIL";"IND";"0";"5th Pass";"52";"215000";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAMESHBHAI JASABHAI PARMAR";"IND";"0";"Literate";"32";"50000";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAMESHBHAI KANUBHAI SANGANI";"IND";"0";"Literate";"27";"787000";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAMESHBHAI SHAMJIBHAI GOHIL";"MJP";"0";"12th Pass";"46";"1019190";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SAMATBHAI BHIKHABHAI MAKWANA";"RKSP";"0";"Literate";"37";"70000";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"VALJIBHAI LALLUBHAI SIROYA";"IND";"0";"Literate";"62";"452000";"0";"No";"Amreli";"GUJARAT";"2009";"Lok Sabha";"No Comment"
