"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"LALKRISHNA KISHANCHAND ADVANI";"BJP";" 1";"Graduate Professional";"81";"35543172";"0";"Yes";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"ANILKUMAR SOMABHAI MAKWANA";"IND";" 3";"Literate";"44";"288985";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"ASHOKKUMAR ISHWARBHAI PATEL";"BNJD";"0";"Literate";"33";"377000";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"FATMABIBI FARUQBHAI MEMON";"IJP";"0";"Literate";"42";"1450000";"385000";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"FIROZ AHMED TAKIYUL REHMAN DEHLVI";"All India Minorities Front";"0";"Graduate";"41";"273675";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"HETA KUMARPAL PARIKH";"IND";"0";"Graduate";"45";"2155520";"46200";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"KALPESHKUMAR RAJNIKANT MODI";"IND";" 1";"12th Pass";"42";"2200000";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"MAHANT SHRI DHARAMDAS BAPU";"IND";"0";"Literate";"45";"21000";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"MALLIKA SARABHAI";"IND";"0";"Doctorate";"55";"55092800";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"MUKESHKUMAR KHODIDAS SHAH";"IND";"0";"12th Pass";"32";"110000";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAHUL CHIMANBHAI MEHTA";"IND";"0";"Post Graduate";"40";"15251775";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAKESHBHAI RAJDEVSINH THAKUR";"IND";"0";"10th Pass";"36";"414500";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAKESHKUMAR HAWALDAR PANDEY";"BSP";"0";"Graduate Professional";"31";"7330000";"175000";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SAMSUDDIN NASRUDDIN KHALIFA";"Loktantrik Samajwadi Party";"0";"5th Pass";"46";"229538";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SANJAYBHAI AMARKUMAR BRAHMBHATT";"IND";"0";"12th Pass";"39";"1310399";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SIDDHESH DINESHBHAI PATEL";"IND";"0";"Not Given";"28";"1041170";"0";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SUKHDEVSINH PARBATSINH VAGHELA";"IND";"0";"Graduate";"51";"854722";"45000";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SUNILBHAI MANUBHAI TRIVEDI";"MJP";" 1";"Graduate";"47";"2963000";"465000";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SURESHKUMAR CHATURDAS PATEL";"INC";"0";"10th Pass";"57";"29390009";"5649035";"No";"GANDHINAGAR";"GUJARAT";"2009";"Lok Sabha";"No Comment"
