"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"JAYSHREEBEN KANUBHAI PATEL";"BJP";"0";"10th Pass";"50";"3343068";"263528";"Yes";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"AMARSINH RAMSINH THAKORE";"MJP";"0";"12th Pass";"40";"504500";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"BABUBHAI ISHWARBHAI PRAJAPATI";"VHS";"0";"12th Pass";"52";"6530575";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"JIVABHAI AMBALAL PATEL";"INC";"0";"10th Pass";"70";"57097000";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"JIVRAMBHAI HIRDAS PATEL";"IND";"0";"5th Pass";"67";"1652000";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"KOKILABEN MANUBHAI NAYI";"IND";"0";"Literate";"39";"305000";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"LALJIBHAI KESHAVLAL PATEL";"IND";"0";"12th Pass";"47";"10434119";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"MANOJKUMAR BECHARDAS PATEL";"IND";"0";"Graduate";"58";"6986300";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"PRAVINKUMAR CHUNILAL PATEL";"BRP";"0";"Post Graduate";"50";"6767384";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAMANJI SIVAJI THAKORE";"IND";"0";"Literate";"56";"1265600";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RUDATSINH VANRAJSINH ZALA";"BSP";"0";"8th Pass";"27";"850000";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SHANKARJI BADARJI CHAVDA";"IND";" 1";"8th Pass";"55";"1120000";"0";"No";"MAHESANA";"GUJARAT";"2009";"Lok Sabha";"No Comment"
