"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"DARSNABEN VIKRAMBHAI JARDOS";"BJP";" 1";"Graduate";"48";"9021338";"395000";"Yes";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"AJAYKUMAR DINESHKUMAR PATEL";"BSP";"0";"Post Graduate";"33";"624821";"369000";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"ANANDBHAI KESHAVBHAI MAKWANA";"IND";" 1";"Illiterate";"31";"69000";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"DHIRUBHAI HARIBHAI GAJERA";"INC";" 1";"8th Pass";"58";"42921887";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"FAKIRBHAI CHHOTUBHAI CHAUHAN";"MJP";"0";"10th Pass";"70";"15700623";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"KANUBHAI HARIBHAI PATEL";"Loktantrik Samajwadi Party";"0";"10th Pass";"48";"55000";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"MOHAMMAD AIYUB ABDUL RAHEMAN SHAIKH";"IND";"0";"Illiterate";"40";"370000";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"MUKESHBHAI LAVJIBHAI (PRAJAPATI) AMBALIYA";"LPSP";"0";"Literate";"32";"68000";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"PRABHAKARBHAI SOMABHAI NAGMAL";"IND";"0";"Literate";"50";"878000";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"PYARELAL BUDDHURAM BHARTI";"IND";"0";"12th Pass";"42";"21500";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"RAKESH RAMSHANKER BAJPAI";"IND";"0";"Post Graduate";"37";"3967749";"1515000";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SAVITABEN CHHAGANBHAI PATEL";"IND";"0";"Literate";"51";"1828000";"210000";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SHASHIKANT ARJUNBHAI KAPURE";"RPIE";"0";"10th Pass";"32";"2187000";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
"SURESHBHAI CHHAGANBHAI CHOTALIA";"RKSP";"0";"Not Given";"37";"1585000";"0";"No";"SURAT";"GUJARAT";"2009";"Lok Sabha";"No Comment"
