"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"JITENDER SINGH";"INC";"0";"Graduate Professional";"40";"1779080";"0";"Yes";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"BALWAN SINGH";"IND";"0";"12th Pass";"50";"1890000";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"BIJENDER KUMAR";"IND";"0";"10th Pass";"31";"430000";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"DALVIR";"IND";"0";"12th Pass";"40";"1338170";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"DEVRAJ DEEWAN";"BSP";"0";"10th Pass";"66";"160990187";"897060";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"DHARAMVIR";"IND";" 1";"Graduate";"37";"1454600";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"GEJENDER";"KKJHS";"0";"10th Pass";"39";"9273262";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"JYOTI PARKASH";"SP";"0";"10th Pass";"28";"186000";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"KISHAN SINGH SANGWAN";"BJP";"0";"Post Graduate";"59";"15746702";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"KRISHAN KUMAR";"LJP";"0";"Post Graduate";"42";"673222";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"MADANGOPAL";"RDMP";"0";"Literate";"38";"187950";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"OM PARKASH";"BHC";"0";"10th Pass";"45";"2400500";"520000";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"Pt. UMESH SHARMA";"HJC(BL)";"0";"10th Pass";"41";"14162644";"358042";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"RAJ PAL";"CPI(ML)(L)";"0";"10th Pass";"37";"0";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"RAJENDER SINGH";"UWF";"0";"Graduate";"48";"566000";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"RAJESH";"IND";"0";"12th Pass";"28";"430200";"48000";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"ROHTASH";"SMBHP";"0";"Post Graduate";"35";"5000";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"SHIV NARAYAN";"IND";"0";"Graduate Professional";"45";"536223";"15500";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"SUKHBIR SINGH";"NCP";"0";"Post Graduate";"53";"24677007";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
"SUSHILA";"JCP";"0";"12th Pass";"42";"6565000";"0";"No";"Sonipat";"HARYANA";"2009";"Lok Sabha";"No Comment"
