"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"MIRZA MEHBOOB BEG";"JKN";"0";"Graduate Professional";"59";"4850000";"0";"Yes";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"ASIF JEELANI";"AIFB";"0";"Post Graduate";"39";"0";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"BASHIR AHMAD KHAN";"RNSP";"0";"Not Given";"50";"86000";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"BASHIR AHMAD MALIK";"JKANC";"0";"Not Given";"65";"245000";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"FAYAZ AHMAD BHAT";"SP";"0";"Graduate";"40";"300000";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"GH MOHI-UD-DIN SHAH";"IND";"0";"Graduate";"70";"630000";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"MOHD RAFIQ WANI";"LJP";"0";"10th Pass";"39";"895000";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"MOHD SIDIQ KHAN";"BJP";"0";"10th Pass";"43";"8750000";"650000";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"MUSHTAQ AHMAD GANIE";"IJP";"0";"10th Pass";"39";"367000";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"NAZIR AHMAD BHAT";"IND";"0";"10th Pass";"32";"10000";"75000";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"NISAR AHMAD KHAN";"BSP";"0";"12th Pass";"41";"22500000";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"PEER MOHD HUSSAIN";"JKPDP";"0";"Graduate";"66";"1900000";"350000";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"RAJIV MAHAJAN";"IND";"0";"12th Pass";"41";"4342462";"0";"No";"Anantnag";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
