"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"FAROOQ ABDULLAH";"JKN";"0";"Graduate Professional";"67";"97841140";"0";"Yes";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"ABDUL RASHID LONE";"RPI(A)";"0";"10th Pass";"41";"345000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"ASHIQ HUSSAIN BHAT";"IND";"0";"Post Graduate";"41";"350000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"AVTAR KRISHAN PANDITA";"BJP";"0";"Literate";"39";"15170000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"BILAL AHMAD BHAT";"Samata Party";"0";"8th Pass";"34";"220000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"IFTIKHAR HUSSAIN ANSARI";"JKPDP";"0";"Post Graduate";"67";"219223700";"6500000";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"KHALIDA BEGUM";"JKANC";"0";"8th Pass";"75";"23462542";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"MEHBOOBA SHAHDAB";"IND";"0";"Graduate";"45";"85000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"MOHAMMAD AHSAN MIR";"IND";"0";"12th Pass";"60";"7630000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"MOHAMMAD ALYAS KUMAR";"IND";"0";"12th Pass";"38";"2000000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"MOHAMMAD ASHRAF KHAN";"BSP";"0";"Graduate";"35";"100000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"MUSHTAQ AHMAD";"RKSP";"0";"8th Pass";"39";"170000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"NISSAR AHMAD AHANGAR";"BSKRP";"0";"10th Pass";"26";"20000";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"QARI ZAHIR ABBAS BHATTI";"All India Forward Bloc (Subhasist)";"0";"10th Pass";"39";"8300000";"400000";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
"SYED MUJTABA HUSSAIN BUKHARI";"IND";"0";"Not Given";"36";"0";"0";"No";"SRINAGAR";"JAMMU & KASHMIR";"2009";"Lok Sabha";"No Comment"
