"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"PASHUPATI NATH SINGH";"BJP";" 2";"Graduate";"60";"3943516";"0";"Yes";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"A.K. ROY";"MCO";" 1";"Post Graduate";"72";"61317";"0";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"ABDUL MUSTAFA";"IND";"0";"Post Graduate";"32";"75000";"0";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"CHANDRASHEKHAR DUBEY";"INC";" 1";"10th Pass";"66";"14681276";"0";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"DIN BANDHU SINGH";"SLP(L)";"0";"10th Pass";"56";"24000";"0";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"INDU SINGH";"Samata Party";"0";"Graduate";"32";"3552000";"0";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"KARTIK MAHATO";"IND";"0";"Not Given";"44";"105000";"0";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"M.K.MANDAL";"Amra Bangalee";"0";"Post Graduate";"62";"1372000";"18699";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"PHUL CHAND MANDAL";"JVM(P)";" 3";"12th Pass";"66";"1407804";"325000";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"SAMARESH SINGH";"BSP";" 15";"12th Pass";"68";"5309565";"0";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"VIDESHI MAHATO";"JVD";"0";"Graduate";"54";"1000000";"373582";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
"VIRENDRA PRADHAN";"LJP";" 2";"8th Pass";"44";"63306146";"0";"No";"Dhanbad";"JHARKHAND";"2009";"Lok Sabha";"No Comment"
