"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Siddeswara.G.M";"BJP";"0";"10th Pass";"56";"140248867";"4263675";"Yes";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"ALUR M.G. SWAMY";"IND";"0";"Not Given";"62";"3200000";"70000";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"ARUNDI NINGAPPA";"IND";"0";"Graduate";"77";"1700000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"B. GNANA PRAKASH";"IND";"0";"Post Graduate";"30";"685000";"11000";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"DR. SRIDHARA UDUPA";"IND";"0";"Post Graduate";"56";"820000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"DR.RAJU C.";"IND";"0";"Graduate";"44";"1640000";"132249";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"G. N. SIDDESH";"IND";"0";"12th Pass";"42";"6149100";"4078000";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"H K KENCHVEERAPPA HEBBALU";"IND";"0";"10th Pass";"65";"1100000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"H. ESWARAPPA BOVI";"IND";"0";"Literate";"54";"605000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"H. NAGARAJ PALEGARA";"IND";"0";"10th Pass";"30";"0";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"H.M. EHSANULLA PATEL";"IND";"0";"8th Pass";"53";"1545000";"10000";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"IDLI RAMAPPA";"CPI(ML)(L)";"0";"Graduate";"46";"480000";"55000";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"INAYAT ALI KHAN";"IND";"0";"12th Pass";"31";"230000";"15000";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"JAYANNA ITAGI";"IND";"0";"Graduate";"38";"4855000";"234363";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"K.B. Kallerudreshappa";"JD(S)";"0";"Graduate";"49";"11757000";"6122279";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"L.S MALLIKARJUN";"IND";"0";"Graduate Professional";"39";"360000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"M. NAGARAJAPPA";"IND";"0";"10th Pass";"46";"0";"20000";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"Mallikarjun.S.S";"INC";" 1";"Graduate";"42";"357848779";"138105045";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"MARUTHI H.";"IND";"0";"12th Pass";"51";"180000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"S. CHANDRASHEKARAPPA";"IND";"0";"Graduate";"59";"223500";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"SUBHAN KHAN";"IND";"0";"Post Graduate";"45";"1140000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"SUDESH G.M.";"Akhila India Jananayaka Makkal Katchi (Dr. Is";"0";"10th Pass";"31";"90000";"250000";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"VEERESH T.";"IND";"0";"12th Pass";"35";"50000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"YOGESHWARA RAO SINDHE";"IND";"0";"10th Pass";"42";"140000";"0";"No";"DAVANAGERE";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
