"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ADAGUR H. VISWANATH";"INC";"0";"Graduate Professional";"59";"28291172";"7367061";"Yes";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"ARSHAD ULLA SHARIFF";"BPJP";"0";"Not Given";"39";"29900000";"0";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"B A JIVIJAYA";"JD(S)";"0";"Graduate";"71";"29939089";"5305825";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"C.H.VIJAYA SHANKAR";"BJP";"0";"Graduate Professional";"53";"17493189";"2969040";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"Dr.E KESHAMMA";"RDMP";"0";"Doctorate";"32";"183000";"0";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"M LEELAVATHI";"PPOI";"0";"Not Given";"51";"339516";"175000";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"M V SANTHOSH KUMAR";"IND";"0";"Graduate";"27";"5000";"25000";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"P.N.SRINATH-PATHRIKE";"IND";"0";"Graduate";"39";"280000";"0";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"P.PARSHIVAMURTHY";"RKSP";"0";"Post Graduate";"41";"30000";"0";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"RAFEEQ";"IND";" 1";"Not Given";"27";"55000";"0";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"SANTHOSH KUMAR.P";"IND";"0";"10th Pass";"35";"1135000";"500000";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"SYED NIZAM ALI";"BSP";"0";"Graduate";"51";"7345000";"1857207";"No";"Mysore";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
