"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"G.S. BASAVARAJU";"BJP";"0";"Graduate Professional";"67";"54382029";"8761621";"Yes";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"ASHOK";"BSP";"0";"12th Pass";"59";"2740000";"500000";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"D.R. NAGARAJA";"IND";"0";"Graduate";"54";"5584500";"0";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"G. Nagendra";"IND";"0";"10th Pass";"34";"5000";"0";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"MOHAMED KHASIM";"IND";"0";"Post Graduate";"47";"250000";"140000";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"NIRANJANA C.S";"IND";"0";"Post Graduate";"29";"651000";"0";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"P.Kodandaramaiah";"INC";" 1";"Post Graduate";"69";"63420000";"49470";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"S.P. MUDDAHANUMEGOWDA";"JD(S)";"0";"Graduate";"55";"9896116";"194997";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"SHASIBHUSHANA";"IND";"0";"Post Graduate";"34";"1150000";"60000";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
"Sri. Gowri Shankara Swamigalu";"SP";"0";"Graduate";"63";"4017500";"0";"No";"TUMKUR";"KARNATAKA";"2009";"Lok Sabha";"No Comment"
