"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Prof K V Thomas";"INC";"0";"Post Graduate";"62";"15041664";"2209490";"Yes";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"A N Radhakrishna";"BJP";" 1";"Graduate";"49";"4301709";"1700000";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"Mary Francis Moolampilly";"IND";"0";"10th Pass";"59";"1729731";"0";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"Saji Thuruthikunnel";"IND";" 1";"Graduate";"37";"165000";"235000";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"Saju Thomas";"IND";"0";"10th Pass";"43";"325000";"0";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"Sherief Mohammed";"BSP";"0";"Post Graduate";"56";"4841000";"500000";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"Sindhu Jaya";"IND";"0";"10th Pass";"38";"481000";"10000";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"Sindhu Joy";"CPM";" 11";"Post Graduate";"32";"1237000";"0";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"Sindhu K S";"IND";" 2";"8th Pass";"36";"600000";"15000";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
"Viswambara";"IND";"0";"Post Graduate";"59";"4491000";"1272000";"No";"ERNAKULAM";"KERALA";"2009";"Lok Sabha";"No Comment"
